기준월,법정동명,일평균유동인구,시간대
1,봉명동,33596.63,퇴근
1,가정동,2177.11,출근
1,화암동,80.84,저녁
1,화암동,4306.76,주간
1,탑립동,2302.11,퇴근
1,원내동,9178.72,출근
1,학하동,2769.17,새벽
1,성북동,867.69,저녁
1,성북동,1522.2,주간
1,송정동,161.34,출근
1,상대동,11545.65,퇴근
1,노은동,11301.03,퇴근
1,자운동,87.23,새벽
1,신봉동,1631.9,출근
1,교촌동,456.52,새벽
1,계산동,3878.76,퇴근
1,상대동,24648.08,저녁
1,상대동,42642.93,주간
1,도룡동,2831.2,새벽
1,덕진동,1844.66,출근
1,하기동,6375.49,새벽
1,문지동,2717.65,출근
1,금고동,88.05,새벽
1,덕명동,9254.71,퇴근
1,원신흥동,29003.71,저녁
1,원신흥동,56947.21,주간
1,어은동,19256.01,저녁
1,어은동,57861.2,주간
1,둔곡동,19.83,저녁
1,둔곡동,728.1,주간
1,갑동,854.95,저녁
1,갑동,2586.75,주간
1,죽동,1607.36,출근
1,궁동,28306.98,저녁
1,궁동,65327.85,주간
1,신성동,20983.24,저녁
1,신성동,44926.05,주간
1,장동,4182.13,저녁
1,장동,39871.86,주간
1,대동,11.54,저녁
1,대동,47.44,주간
1,복용동,2956.26,출근
1,덕진동,1314.7,새벽
1,안산동,67.1,출근
1,문지동,2809.96,새벽
1,송강동,7884.76,출근
1,용계동,1967.6,저녁
1,용계동,7829.54,주간
1,학하동,1936.93,출근
1,방현동,148.22,저녁
1,방현동,2091.35,주간
1,자운동,328.81,출근
1,전민동,14033.51,새벽
1,계산동,2025.8,출근
1,가정동,2682.86,퇴근
1,신동,2.68,저녁
1,신동,1046.34,주간
1,방동,353.98,새벽
1,갑동,235.96,출근
1,노은동,10097.97,새벽
1,궁동,7200.05,출근
1,신성동,6164.89,출근
1,장동,3901.48,출근
1,외삼동,256.02,새벽
1,반석동,20074.17,퇴근
1,관평동,17933.44,퇴근
1,대동,0.57,출근
1,금탄동,32.49,저녁
1,금탄동,185.37,주간
1,구룡동,11.18,새벽
1,죽동,2458.34,새벽
1,성북동,421.48,새벽
1,죽동,4593.95,저녁
1,죽동,13093.19,주간
1,추목동,2349.77,퇴근
2,원내동,16730.01,퇴근
2,교촌동,400.23,새벽
2,교촌동,3515.95,주간
2,대정동,3493.89,퇴근
2,상대동,13308.17,새벽
2,상대동,39126.09,주간
2,궁동,13941.83,새벽
2,궁동,59716.92,주간
2,가정동,2422.09,저녁
2,장동,1879.5,새벽
2,장동,33518.16,주간
2,하기동,5731.66,새벽
2,하기동,21970.52,주간
2,신봉동,2465.19,퇴근
2,원촌동,2648.22,출근
2,세동,19.01,저녁
2,어은동,10718.13,퇴근
2,구성동,3018.53,퇴근
2,도룡동,2627.72,출근
2,탑립동,2132.56,퇴근
2,구룡동,13.63,새벽
2,구룡동,1148.85,주간
2,봉명동,30396.57,퇴근
2,장대동,38857.65,새벽
2,장대동,163887.04,주간
2,갑동,226.36,출근
2,화암동,123.08,저녁
2,외삼동,772.47,저녁
2,장대동,43126.26,퇴근
2,갑동,172.6,새벽
2,갑동,2319.48,주간
2,방현동,132.41,저녁
2,추목동,3175.15,저녁
2,문지동,2372.72,출근
2,원내동,32284.26,저녁
2,대정동,6286.11,저녁
2,송정동,268.84,새벽
2,송정동,1456.44,주간
2,방동,330.93,새벽
2,방동,2461.48,주간
2,복용동,4127.05,새벽
2,복용동,16754.95,주간
2,신봉동,4873.52,저녁
2,안산동,14.43,새벽
2,안산동,486.01,주간
2,관평동,15833.86,퇴근
2,용계동,1261.36,퇴근
2,성북동,373.77,새벽
2,성북동,1440.02,주간
2,화암동,309.94,출근
2,덕진동,994.74,새벽
2,덕진동,13610.77,주간
2,수남동,18.29,새벽
2,수남동,2565.54,주간
2,외삼동,243.24,출근
2,문지동,6041.22,저녁
2,대동,7.66,퇴근
2,어은동,5445.21,출근
2,구성동,1509.95,출근
2,탑립동,2472.79,출근
2,도룡동,7655.8,저녁
2,반석동,7536.57,출근
2,계산동,3531.33,퇴근
2,덕명동,7208.86,새벽
2,덕명동,40631.06,주간
2,지족동,19324.98,퇴근
2,죽동,1328.18,출근
2,금고동,73.56,새벽
2,금고동,391.57,주간
2,신동,93.42,출근
2,세동,14.46,출근
2,봉명동,54324.68,저녁
2,반석동,11431.87,새벽
2,반석동,63340.06,주간
2,성북동,389.9,퇴근
2,화암동,39.98,새벽
2,화암동,3676.75,주간
2,덕진동,1695.23,퇴근
2,추목동,2639.64,출근
2,수남동,182.58,퇴근
2,외삼동,259.18,새벽
2,외삼동,1961.64,주간
2,원내동,8225.54,출근
2,대정동,1959.56,출근
2,구암동,16549.43,저녁
2,덕명동,8733.96,퇴근
2,노은동,10250.45,퇴근
2,죽동,1947.11,새벽
2,죽동,11560.14,주간
2,신봉동,1427.43,출근
2,금고동,9.41,퇴근
2,신동,1069.53,주간
2,둔곡동,17.05,저녁
2,용계동,885.26,출근
2,세동,0.03,새벽
2,세동,215.77,주간
2,장대동,82319.55,저녁
2,반석동,18081.57,퇴근
2,대동,1.14,출근
2,학하동,2245.6,새벽
2,학하동,13126.3,주간
2,원신흥동,14310.79,새벽
2,원신흥동,51423.74,주간
2,어은동,17969.17,저녁
2,구성동,3697.51,저녁
2,방현동,145.56,퇴근
2,추목동,2260.53,퇴근
2,탑립동,1127.58,저녁
2,원내동,14202.14,새벽
2,원내동,62246.3,주간
2,교촌동,364.75,출근
2,대정동,2805.5,새벽
2,대정동,14150.71,주간
2,상대동,6517.33,출근
2,죽동,2428.44,퇴근
2,궁동,6544.46,출근
2,장동,3315.12,출근
2,하기동,3342.05,출근
2,신봉동,2305.45,새벽
2,신봉동,10491.12,주간
2,신동,44.59,퇴근
2,구암동,8730.84,퇴근
2,가정동,1790.0,출근
2,둔곡동,16.02,퇴근
2,전민동,8238.22,출근
2,원촌동,4199.27,퇴근
2,봉산동,10249.13,저녁
2,송강동,30677.82,저녁
2,금탄동,27.13,저녁
